County_FIPS,D,I,R
39001.0,20.72,0.973333333333,76.33
39003.0,28.71,1.46,66.89
39005.0,23.5,1.71666666667,71.31
39007.0,38.15,1.55333333333,57.16
39009.0,55.66,1.87,38.71
39011.0,16.73,1.31333333333,79.3
39013.0,28.33,1.25333333333,67.88
39015.0,22.31,1.06,74.49
39017.0,33.66,1.43666666667,62.01
39019.0,24.39,1.59666666667,70.79
39021.0,25.5,1.5,69.97
39023.0,38.01,1.47333333333,57.54
39025.0,27.05,1.51333333333,68.38
39027.0,21.78,1.27,74.39
39029.0,27.11,1.39666666667,68.68
39031.0,26.12,1.49,69.38
39033.0,24.15,1.63333333333,70.92
39035.0,65.83,1.10333333333,30.84
39037.0,17.58,1.20333333333,78.79
39039.0,29.68,1.93333333333,64.5
39041.0,39.54,1.61,55.6
39043.0,42.72,1.57,52.54
39045.0,34.23,1.51666666667,61.18
39047.0,24.7,1.17,71.76
39049.0,60.56,1.58333333333,34.67
39051.0,28.9,2.07666666667,64.84
39053.0,20.36,1.20666666667,76.0
39055.0,35.22,1.35666666667,60.68
39057.0,35.19,1.71333333333,59.65
39059.0,26.52,1.45,69.1
39061.0,52.55,1.46666666667,43.03
39063.0,26.74,1.90666666667,67.51
39065.0,23.88,1.67,71.09
39067.0,23.9,1.29666666667,72.18
39069.0,26.99,2.05333333333,66.82
39071.0,20.15,1.18333333333,76.28
39073.0,29.67,1.37666666667,66.18
39075.0,16.31,1.47,79.25
39077.0,29.09,1.80666666667,65.46
39079.0,23.73,1.2,72.64
39081.0,30.25,1.26666666667,65.93
39083.0,28.66,1.49,66.85
39085.0,39.94,1.50666666667,55.52
39087.0,26.39,1.1,70.29
39089.0,33.19,1.54333333333,62.14
39091.0,21.59,1.4,74.19
39093.0,47.53,1.54666666667,47.81
39095.0,56.01,1.77333333333,38.65
39097.0,27.82,1.53333333333,67.55
39099.0,49.8,1.12333333333,46.8
39101.0,30.2,1.73333333333,64.57
39103.0,35.34,1.47333333333,60.21
39105.0,22.92,1.35333333333,72.99
39107.0,15.64,1.21333333333,80.69
39109.0,24.93,1.50333333333,70.55
39111.0,24.63,1.28,71.5
39113.0,47.14,1.48,48.39
39115.0,27.2,1.39333333333,68.6
39117.0,22.92,1.54333333333,72.42
39119.0,30.16,1.56333333333,65.12
39121.0,20.44,1.31333333333,75.59
39123.0,37.42,1.86,56.98
39125.0,23.38,1.56,71.91
39127.0,27.8,1.35333333333,68.12
39129.0,26.56,1.40666666667,69.21
39131.0,29.9,1.15333333333,66.61
39133.0,42.53,1.58666666667,52.69
39135.0,21.11,1.25666666667,75.09
39137.0,15.63,1.46333333333,79.96
39139.0,29.08,1.42666666667,66.62
39141.0,34.2,1.39666666667,61.58
39143.0,35.4,2.07333333333,58.36
39145.0,29.85,1.16,66.65
39147.0,30.82,2.38666666667,62.0
39149.0,17.92,1.17333333333,78.52
39151.0,38.96,1.54666666667,56.38
39153.0,51.98,1.39333333333,43.82
39155.0,44.78,1.34,51.18
39157.0,29.67,1.73333333333,65.11
39159.0,28.37,1.75666666667,66.33
39161.0,19.63,1.44333333333,76.03
39163.0,24.69,1.61333333333,70.44
39165.0,28.91,1.53333333333,66.47
39167.0,27.04,1.43333333333,68.64
39169.0,30.21,1.54333333333,65.13
39171.0,25.3,1.85666666667,69.11
39173.0,42.44,2.19666666667,50.94
39175.0,23.89,1.80666666667,70.66
40001.0,21.24,5.27,73.48
40003.0,9.57,4.83,85.59
40005.0,15.89,2.77,81.32
40007.0,7.86,3.3,88.82
40009.0,12.72,3.77,83.5
40011.0,18.74,5.22,76.03
40013.0,20.27,3.86,75.85
40015.0,25.89,4.76,69.33
40017.0,21.11,6.54,72.34
40019.0,21.59,4.2,74.19
40021.0,33.08,6.3,60.6
40023.0,19.63,2.82,77.54
40025.0,6.49,4.17,89.32
40027.0,35.48,7.37,57.14
40029.0,17.17,3.76,79.06
