County_FIPS,total_pop,pct_male,pct_female,pct_old,pct_latino,pct_white,pct_black
22053,31492,49.1,50.9,18.2,2.0,78.1,17.2
22055,228084,48.9,51.1,13.3,4.1,66.9,25.5
22057,97235,49.4,50.6,16.0,4.2,77.3,13.3
22059,14874,51.1,48.9,18.7,2.4,83.5,12.6
22061,47243,48.4,51.6,14.9,2.6,53.4,40.6
22063,132160,49.4,50.6,13.7,3.2,89.2,5.9
22065,12008,50.1,49.9,15.8,1.7,35.5,61.3
22067,27319,47.8,52.2,19.5,1.1,50.2,47.4
22069,39359,47.7,52.3,17.8,2.0,53.5,40.6
22071,368471,48.0,52.0,14.9,5.4,30.7,59.2
22073,155285,47.9,52.1,15.9,2.0,58.9,37.0
22075,23545,49.4,50.6,14.3,5.6,67.0,21.0
22077,22631,47.9,52.1,21.5,2.4,60.2,35.8
22079,132199,48.2,51.8,17.4,2.7,61.8,32.0
22081,8937,48.5,51.5,18.8,1.4,57.9,39.2
22083,20845,48.2,51.8,18.1,1.9,61.1,36.0
22085,24286,49.5,50.5,21.9,3.6,68.7,16.9
22087,41114,50.1,49.9,12.3,9.4,66.0,20.1
22089,52616,48.8,51.2,13.5,5.4,65.8,26.1
22091,10937,48.8,51.2,20.1,0.1,44.6,52.7
22093,21782,48.4,51.6,17.7,1.4,47.9,50.1
22095,44570,48.6,51.4,14.4,5.1,38.8,53.6
22097,83518,47.9,52.1,17.5,1.8,55.3,40.8
22099,52823,49.1,50.9,16.2,2.3,64.9,30.3
22101,53784,49.4,50.6,17.3,5.8,56.9,31.2
22103,239814,48.6,51.4,17.5,5.1,79.9,11.6
22105,124125,48.5,51.5,15.5,3.7,64.0,29.8
22107,5008,47.8,52.2,22.1,1.6,41.9,56.1
22109,112167,49.5,50.5,14.5,4.4,68.2,18.9
22111,22623,49.8,50.2,21.5,4.3,67.9,25.4
22113,58784,48.5,51.5,16.1,2.8,79.1,14.0
22115,52844,52.0,48.0,12.3,8.5,70.9,13.8
22117,46723,49.1,50.9,19.0,2.0,65.9,30.2
22119,40890,48.8,51.2,21.8,1.7,62.9,33.9
22121,24347,49.1,50.9,14.5,2.6,57.6,37.2
22123,11522,50.6,49.4,20.8,2.8,79.8,16.1
22125,15485,65.3,34.7,16.9,1.5,51.6,45.7
22127,15000,52.7,47.3,18.8,1.7,65.6,31.0
23001,107470,49.0,51.0,18.7,1.6,91.6,1.6
23003,70653,49.2,50.8,24.6,1.0,94.7,0.7
23005,284351,48.6,51.4,19.0,1.9,91.2,2.6
23007,30569,49.1,50.9,22.5,1.1,96.3,0.3
23009,54581,48.9,51.1,24.2,1.2,95.6,0.5
23011,121507,48.5,51.5,21.0,1.4,95.2,0.8
23013,39653,49.5,50.5,25.8,1.0,96.2,0.6
23015,34237,49.3,50.7,30.1,0.9,96.6,0.3
23017,57517,49.6,50.4,22.2,1.1,96.0,0.4
23019,153627,49.3,50.7,19.5,1.2,94.4,0.8
23021,17271,49.5,50.5,26.8,1.1,95.9,0.1
23023,35102,48.1,51.9,21.9,1.4,95.0,0.7
23025,51762,49.2,50.8,21.8,0.9,96.3,0.4
23027,38904,49.0,51.0,22.6,1.1,96.3,0.4
23029,32397,49.3,50.7,26.2,1.6,90.8,0.5
23031,198934,48.6,51.4,20.8,1.5,95.1,0.6
24001,73976,52.0,48.0,22.3,1.6,87.8,7.9
24003,550269,49.5,50.5,16.1,6.7,71.2,15.3
24005,817720,47.3,52.7,18.7,4.6,61.0,26.4
24009,89793,49.5,50.5,15.4,3.1,79.4,13.1
24011,32759,48.6,51.4,18.1,5.9,77.6,13.8
24013,167399,49.4,50.6,17.6,2.8,90.7,3.1
24015,101803,49.7,50.3,16.2,3.8,86.5,6.7
24017,150960,48.3,51.7,13.1,4.8,46.5,41.2
24019,32614,48.0,52.0,22.3,4.0,65.4,27.9
24021,239253,49.3,50.7,15.1,7.9,76.5,8.5
24023,29945,49.5,50.5,22.9,0.9,96.9,0.8
24025,248029,49.0,51.0,17.0,3.9,78.1,12.9
24027,299269,49.0,51.0,14.3,6.1,57.1,17.6
24029,20016,47.4,52.6,27.7,4.4,78.0,15.1
24031,1005087,48.1,51.9,16.2,17.9,47.4,16.9
24033,884764,48.1,51.9,13.5,15.9,14.5,62.9
24035,48439,49.2,50.8,20.1,3.3,87.0,7.0
24037,108472,49.8,50.2,13.6,4.3,75.9,14.0
24039,26197,54.9,45.1,18.1,3.6,51.5,41.2
24041,37894,47.5,52.5,30.3,5.9,78.4,12.6
24043,148913,50.9,49.1,18.4,3.9,82.1,9.8
24045,100376,47.6,52.4,16.8,4.9,65.6,24.0
24047,51558,48.5,51.5,28.7,3.3,80.0,14.2
24510,622271,47.1,52.9,15.0,4.5,28.1,62.5
25001,215167,47.7,52.3,31.7,2.4,91.5,2.4
25003,130064,48.2,51.8,24.1,3.8,89.9,2.6
25005,551065,48.4,51.6,18.4,6.5,84.8,3.3
25007,16915,49.5,50.5,22.6,0.4,94.2,1.8
25009,757395,48.1,51.9,18.4,17.6,74.4,2.9
25011,71300,49.0,51.0,21.6,3.5,91.8,0.9
25013,466447,48.2,51.8,18.2,22.1,66.1,7.8
25015,160328,46.8,53.2,17.3,5.0,85.3,2.6
25017,1539832,48.7,51.3,16.8,7.1,75.5,4.5
25019,10414,51.8,48.2,17.0,7.2,77.8,8.1
25021,682860,47.9,52.1,18.4,3.7,78.9,5.9
25023,500772,48.6,51.4,19.0,3.4,83.5,8.4
25025,747928,48.2,51.8,13.4,20.9,47.1,20.0
25027,806804,49.3,50.7,16.6,10.0,79.7,4.0
26001,10657,50.6,49.4,38.9,1.3,96.5,0.2
26003,9516,55.2,44.8,27.7,1.3,85.1,7.0
26005,112266,49.8,50.2,17.5,6.9,89.2,1.4
26007,29242,49.2,50.8,24.1,1.2,96.3,0.5
26009,23368,49.9,50.1,28.1,1.9,95.2,0.3
26011,15564,51.0,49.0,26.4,1.7,95.3,1.2
26013,8740,61.0,39.0,22.3,1.2,73.6,17.4
26015,59107,50.3,49.7,20.1,2.4,95.1,0.5
26017,107074,49.2,50.8,21.3,4.9,90.8,1.2
26019,17450,49.8,50.2,27.7,2.0,94.5,0.5
26021,155992,48.8,51.2,20.6,4.9,75.5,14.9
26023,43965,51.5,48.5,19.7,4.2,91.4,2.4
26025,135150,48.9,51.1,19.0,4.6,79.4,10.6
26027,52001,50.2,49.8,22.0,3.2,87.1,4.9
26029,26038,49.3,50.7,24.5,1.6,94.5,0.3
26031,25821,49.6,50.4,28.0,1.1,92.5,0.4
26033,38698,55.0,45.0,18.6,1.5,71.0,6.4
26035,30786,49.6,50.4,26.1,1.7,95.2,0.5
26037,76479,49.5,50.5,17.6,4.2,90.4,1.5
26039,13941,50.6,49.4,27.6,1.6,95.8,0.5
26041,36841,49.5,50.5,24.6,1.0,93.9,0.3
26043,26097,49.5,50.5,23.8,1.2,96.0,0.5
26045,108081,48.8,51.2,18.6,5.0,84.2,6.0
26047,32922,49.5,50.5,22.4,1.4,91.6,0.7
26049,418654,48.2,51.8,18.4,3.1,72.6,20.2
26051,25599,50.2,49.8,28.6,1.3,96.7,0.5
26053,16042,53.5,46.5,28.4,1.1,90.4,4.4
26055,88981,49.2,50.8,19.8,2.5,92.9,1.4
26057,42057,53.1,46.9,18.5,5.5,87.0,5.7
26059,46282,49.8,50.2,20.7,2.0,95.5,0.6
26061,36739,54.4,45.6,18.8,1.3,92.8,0.8
26063,32525,49.7,50.3,26.9,2.1,95.9,0.3
26065,282562,48.5,51.5,14.3,7.5,71.7,10.8
26067,63976,53.2,46.8,15.6,4.6,88.5,3.7
26069,25504,50.0,50.0,32.0,1.9,94.8,0.6
26071,11615,49.3,50.7,32.4,1.6,95.6,0.7
26073,70506,48.6,51.4,12.9,3.5,86.7,2.4
26075,159927,51.2,48.8,18.7,3.2,85.4,8.3
26077,254870,49.0,51.0,16.3,4.4,79.1,10.9
