State,County,Party,St_FIPS,County_FIPS,Candidate,Percentage,Votes
in,Tippecanoe,Democratic,18,18157,Kernan,43%,22504
in,Tippecanoe,Libertarian,18,18157,Gividen,2%,865
in,Tipton,R,18,18159,Daniels,61%,4729
in,Tipton,Democratic,18,18159,Kernan,38%,2973
in,Tipton,Libertarian,18,18159,Gividen,1%,108
in,Union,R,18,18161,Daniels,61%,2040
in,Union,Democratic,18,18161,Kernan,37%,1217
in,Union,Libertarian,18,18161,Gividen,2%,59
in,Vanderburgh,Democratic,18,18163,Kernan,50%,34819
in,Vanderburgh,R,18,18163,Daniels,49%,34129
in,Vanderburgh,Libertarian,18,18163,Gividen,1%,863
in,Vermillion,Democratic,18,18165,Kernan,59%,4121
in,Vermillion,R,18,18165,Daniels,39%,2769
in,Vermillion,Libertarian,18,18165,Gividen,2%,118
in,Vigo,Democratic,18,18167,Kernan,56%,22054
in,Vigo,R,18,18167,Daniels,42%,16804
in,Vigo,Libertarian,18,18167,Gividen,2%,806
in,Wabash,R,18,18169,Daniels,65%,8691
in,Wabash,Democratic,18,18169,Kernan,34%,4569
in,Wabash,Libertarian,18,18169,Gividen,1%,134
in,Warren,R,18,18171,Daniels,56%,2214
in,Warren,Democratic,18,18171,Kernan,43%,1679
in,Warren,Libertarian,18,18171,Gividen,1%,58
in,Warrick,R,18,18173,Daniels,54%,13877
in,Warrick,Democratic,18,18173,Kernan,45%,11678
in,Warrick,Libertarian,18,18173,Gividen,1%,262
in,Washington,R,18,18175,Daniels,59%,6419
in,Washington,Democratic,18,18175,Kernan,40%,4297
in,Washington,Libertarian,18,18175,Gividen,1%,134
in,Wayne,R,18,18177,Daniels,53%,14530
in,Wayne,Democratic,18,18177,Kernan,45%,12565
in,Wayne,Libertarian,18,18177,Gividen,2%,595
in,Wells,R,18,18179,Daniels,66%,8071
in,Wells,Democratic,18,18179,Kernan,33%,3979
in,Wells,Libertarian,18,18179,Gividen,1%,113
in,White,R,18,18181,Daniels,57%,5980
in,White,Democratic,18,18181,Kernan,41%,4260
in,White,Libertarian,18,18181,Gividen,2%,167
in,Whitley,R,18,18183,Daniels,63%,8332
in,Whitley,Democratic,18,18183,Kernan,36%,4758
in,Whitley,Libertarian,18,18183,Gividen,1%,149
mo,Adair,R,29,29001,Blunt,62%,7019
mo,Adair,Democratic,29,29001,McCaskill,36%,4094
mo,Adair,Libertarian,29,29001,Swenson,1%,98
mo,Adair,Constitution,29,29001,Wells,1%,43
mo,Andrew,R,29,29003,Blunt,61%,5001
mo,Andrew,Democratic,29,29003,McCaskill,38%,3143
mo,Andrew,Libertarian,29,29003,Swenson,1%,71
mo,Andrew,Constitution,29,29003,Wells,0%,24
