GEO.id,County_FIPS,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
0500000US49047,49047,"Uintah County, Utah",21860,271,577,411,3294,1018,6283,973,7077,1240,1379,526,2443,686,807,366
0500000US49049,49049,"Utah County, Utah",279931,716,6190,1325,13702,1794,47615,3072,76269,3403,29230,2253,73207,3579,33718,2003
0500000US49051,49051,"Wasatch County, Utah",17958,955,384,298,1211,654,4074,879,5733,1098,1171,574,3250,837,2135,613
0500000US49053,49053,"Washington County, Utah",96848,747,1612,651,5739,1268,26271,2696,28429,2980,9610,1406,14232,1816,10955,1745
0500000US49057,49057,"Weber County, Utah",149380,758,6406,1351,7937,1251,48404,3056,42195,2861,9957,1260,24446,2262,10035,1442
0500000US50001,50001,"Addison County, Vermont",25521,240,514,225,1290,329,7392,826,4748,573,2502,694,5216,851,3859,673
0500000US50003,50003,"Bennington County, Vermont",25785,440,316,182,2247,748,7364,1005,3762,757,2057,518,7276,1119,2763,571
0500000US50005,50005,"Caledonia County, Vermont",21724,184,690,339,1559,485,7842,1019,3539,931,1262,341,3811,709,3021,707
0500000US50007,50007,"Chittenden County, Vermont",105355,432,2525,702,4513,1064,20626,1891,16909,2091,8154,1246,32450,2223,20178,1997
0500000US50011,50011,"Franklin County, Vermont",33812,*****,1270,468,1446,423,13201,1450,6067,1251,3973,1052,5258,1003,2597,763
0500000US50015,50015,"Lamoille County, Vermont",17642,64,839,366,629,308,4472,799,3215,720,1633,507,3992,855,2862,827
0500000US50017,50017,"Orange County, Vermont",20856,257,648,279,1078,337,7978,767,3806,584,1730,397,3502,569,2114,448
0500000US50019,50019,"Orleans County, Vermont",19868,231,693,246,1911,490,7207,721,4054,605,1583,377,2907,528,1513,364
0500000US50021,50021,"Rutland County, Vermont",42943,324,1637,596,2285,556,14879,1300,8394,1199,3339,789,7590,941,4819,834
0500000US50023,50023,"Washington County, Vermont",41886,264,1136,557,1959,772,11713,1291,7188,970,3880,686,9159,982,6851,849
0500000US50025,50025,"Windham County, Vermont",31799,384,622,281,1794,618,8760,969,5428,886,2918,684,6484,994,5793,861
0500000US50027,50027,"Windsor County, Vermont",41648,400,1093,534,2917,965,11994,1298,6484,982,4035,861,8546,1026,6579,1249
0500000US51001,51001,"Accomack County, Virginia",23840,802,1764,616,2845,758,10448,1365,4088,996,1284,556,2055,556,1356,445
0500000US51003,51003,"Albemarle County, Virginia",71011,948,2009,669,2720,770,11062,1558,13140,1484,5352,1198,18780,1890,17948,1788
0500000US51009,51009,"Amherst County, Virginia",22392,801,1033,424,1860,744,7888,1327,5102,878,2476,782,2585,893,1448,536
0500000US51013,51013,"Arlington County, Virginia",171583,732,8163,2560,4582,1152,11295,1914,15959,1971,5591,1141,59126,3180,66867,3395
0500000US51015,51015,"Augusta County, Virginia",53733,491,2232,786,5151,1275,20308,1993,10447,1586,3822,1065,8618,1367,3155,1009
0500000US51019,51019,"Bedford County, Virginia",56001,389,2816,814,5312,1092,16480,1951,10926,1214,5559,1057,9485,1488,5423,1093
0500000US51023,51023,"Botetourt County, Virginia",24164,348,1064,522,1043,375,8258,1200,4879,887,2227,783,4138,879,2555,670
0500000US51027,51027,"Buchanan County, Virginia",16841,1548,2591,807,2681,801,5954,1053,2674,959,996,405,1202,482,743,388
0500000US51031,51031,"Campbell County, Virginia",39778,535,1554,591,4012,1059,13336,1379,8978,1468,3408,859,5583,1129,2907,749
0500000US51033,51033,"Caroline County, Virginia",20627,1199,1084,374,2943,966,7983,1482,4678,1087,1289,555,1973,666,677,375
0500000US51035,51035,"Carroll County, Virginia",21100,1132,1264,521,2072,698,7555,1503,4851,1078,2053,664,2831,941,474,291
0500000US51041,51041,"Chesterfield County, Virginia",223181,378,8027,1656,10470,1674,54636,3803,48333,3276,17713,2529,50555,2653,33447,2484
0500000US51047,51047,"Culpeper County, Virginia",33203,724,1730,699,3740,1080,11296,1532,6356,1154,1803,484,5043,738,3235,954
0500000US51053,51053,"Dinwiddie County, Virginia",21591,832,1101,438,2466,852,8970,1319,3934,1103,1545,685,2345,753,1230,612
0500000US51059,51059,"Fairfax County, Virginia",774691,370,33480,3732,28161,3260,107904,6086,103611,4435,41191,3090,236465,6481,223879,5837
0500000US51061,51061,"Fauquier County, Virginia",47709,355,1151,477,2574,647,14880,1689,10009,1339,3349,807,9587,1446,6159,1022
0500000US51065,51065,"Fluvanna County, Virginia",19213,1539,635,360,1137,424,5094,1125,4706,942,1798,855,2981,807,2862,904
0500000US51067,51067,"Franklin County, Virginia",41186,1208,2134,750,2971,914,14035,1885,9777,1762,3975,986,4853,1098,3441,1037
0500000US51069,51069,"Frederick County, Virginia",58126,951,2228,792,4541,1451,19069,2000,10698,1431,5266,1139,9628,1499,6696,1358
0500000US51073,51073,"Gloucester County, Virginia",26747,928,882,550,1568,728,9195,1096,6254,1023,3334,1112,3027,802,2487,851
0500000US51075,51075,"Goochland County, Virginia",16694,997,541,357,1652,696,4355,818,2830,584,895,405,4857,1155,1564,560
0500000US51083,51083,"Halifax County, Virginia",24089,1025,2112,568,3161,867,8048,964,4315,897,2384,768,2676,782,1393,588
0500000US51085,51085,"Hanover County, Virginia",71095,548,1318,536,4025,929,19734,1775,14659,1714,6569,1208,17224,1603,7566,1322
